ticker,n_mu,x,std_returns
BTC-USD,50,0.5,0.9918668520182639
BTC-USD,50,0.75,1.0961519458677962
BTC-USD,50,1.0,1.297863650205228
ETH-USD,1,0.0,1.343820007097455
ETH-USD,1,0.25,1.328864413595041
ETH-USD,1,0.5,1.3336505684852942
ETH-USD,1,0.75,1.3077270027878256
ETH-USD,1,1.0,1.314855729392847
ETH-USD,3,0.0,1.2621356700832707
ETH-USD,3,0.25,1.268256068999787
ETH-USD,3,0.5,1.2924896275010378
ETH-USD,3,0.75,1.295483942548435
ETH-USD,3,1.0,1.314855729392847
ETH-USD,5,0.0,1.2121988686316045
ETH-USD,5,0.25,1.2238620108525262
ETH-USD,5,0.5,1.2771939917284627
ETH-USD,5,0.75,1.2803420907780796
ETH-USD,5,1.0,1.314855729392847
ETH-USD,8,0.0,1.1800970871566372
ETH-USD,8,0.25,1.1993233571616566
ETH-USD,8,0.5,1.2576560372982362
ETH-USD,8,0.75,1.2641898967746474
ETH-USD,8,1.0,1.314855729392847
ETH-USD,12,0.0,1.0515592650161387
ETH-USD,12,0.25,1.0888156707388637
ETH-USD,12,0.5,1.1874610228362688
ETH-USD,12,0.75,1.2339994980818132
ETH-USD,12,1.0,1.314855729392847
ETH-USD,18,0.0,0.9826862074007723
ETH-USD,18,0.25,1.0314804266962654
ETH-USD,18,0.5,0.9175133688460715
ETH-USD,18,0.75,0.9589741326352286
ETH-USD,18,1.0,1.314855729392847
ETH-USD,25,0.0,0.9428820566441276
ETH-USD,25,0.25,1.0205223960944372
ETH-USD,25,0.5,0.9604567747160176
ETH-USD,25,0.75,0.9809128977612692
ETH-USD,25,1.0,1.314855729392847
ETH-USD,35,0.0,0.9324595909313231
ETH-USD,35,0.25,0.8131331950392372
ETH-USD,35,0.5,1.1609707392432658
ETH-USD,35,0.75,1.1864630011531456
ETH-USD,35,1.0,1.314855729392847
ETH-USD,50,0.0,0.7973922800074306
ETH-USD,50,0.25,1.0039247036907393
ETH-USD,50,0.5,1.1231237963817489
ETH-USD,50,0.75,1.1900811507682156
ETH-USD,50,1.0,1.314855729392847
GLD,1,0.0,1.2526789216670624
GLD,1,0.25,1.274333119079766
GLD,1,0.5,1.2791944699350954
GLD,1,0.75,1.296090593095734
GLD,1,1.0,1.3171113826955632
GLD,3,0.0,1.1981862069172158
GLD,3,0.25,1.229293906331191
GLD,3,0.5,1.2469645009139478
GLD,3,0.75,1.2577191438646669
GLD,3,1.0,1.3171113826955632
GLD,5,0.0,1.1196737001194965
GLD,5,0.25,1.1650475888497538
GLD,5,0.5,1.1967936101072876
GLD,5,0.75,1.248795811714507
GLD,5,1.0,1.3171113826955632
GLD,8,0.0,1.02102303032064
GLD,8,0.25,1.087885226318804
GLD,8,0.5,1.1381774723360658
GLD,8,0.75,1.222363625092592
GLD,8,1.0,1.3171113826955632
GLD,12,0.0,0.8795160010758701
GLD,12,0.25,1.0153577003686776
GLD,12,0.5,1.0998957032616448
GLD,12,0.75,1.2044053225721285
GLD,12,1.0,1.3171113826955632
GLD,18,0.0,0.8569919588096422
GLD,18,0.25,0.971101894658379
GLD,18,0.5,1.0496962686224565
GLD,18,0.75,1.1826999668685196
GLD,18,1.0,1.3171113826955632
GLD,25,0.0,0.8069437708354302
GLD,25,0.25,0.9181180020985105
GLD,25,0.5,0.9946110055745856
GLD,25,0.75,1.1554465582055646
GLD,25,1.0,1.3171113826955632
GLD,35,0.0,0.7116690311472366
GLD,35,0.25,0.8380633838555922
GLD,35,0.5,0.9477547362814978
GLD,35,0.75,1.1104972023676603
GLD,35,1.0,1.3171113826955632
GLD,50,0.0,0.6990941326590926
GLD,50,0.25,0.8404726038700404
GLD,50,0.5,0.9662906784502884
GLD,50,0.75,1.108447453935992
GLD,50,1.0,1.3171113826955632
SLV,1,0.0,1.3626542632081389
SLV,1,0.25,1.3891324538374377
SLV,1,0.5,1.3924510455400305
SLV,1,0.75,1.4088910035857447
SLV,1,1.0,1.405376913458169
SLV,3,0.0,1.2984602933218516
SLV,3,0.25,1.3407664878081764
SLV,3,0.5,1.3754121891202205
SLV,3,0.75,1.3852896614910388
SLV,3,1.0,1.405376913458169
SLV,5,0.0,1.2274877801922628
SLV,5,0.25,1.2807920202060938
