ticker,n_mu,x,sortino
QQQ,5,0.25,0.9071236132542126
QQQ,5,0.5,0.9315816928235181
QQQ,5,0.75,0.956871826164026
QQQ,5,1.0,0.9940647206045355
QQQ,8,0.0,0.7943786615598619
QQQ,8,0.25,0.8428175342269201
QQQ,8,0.5,0.8557104234327898
QQQ,8,0.75,0.9220599278093311
QQQ,8,1.0,0.9940647206045355
QQQ,12,0.0,0.6981298353066488
QQQ,12,0.25,0.7653569021879436
QQQ,12,0.5,0.7688717301370406
QQQ,12,0.75,0.8790042382754293
QQQ,12,1.0,0.9940647206045355
QQQ,18,0.0,0.6423393298472959
QQQ,18,0.25,0.7033426067389957
QQQ,18,0.5,0.7511340357886284
QQQ,18,0.75,0.8732028652454827
QQQ,18,1.0,0.9940647206045355
QQQ,25,0.0,0.5756688334864434
QQQ,25,0.25,0.6690702606021436
QQQ,25,0.5,0.7805278527530234
QQQ,25,0.75,0.8260364160723667
QQQ,25,1.0,0.9940647206045355
QQQ,35,0.0,0.5665923844407925
QQQ,35,0.25,0.6141119837889263
QQQ,35,0.5,0.7646387212575781
QQQ,35,0.75,0.7956776001562474
QQQ,35,1.0,0.9940647206045355
QQQ,50,0.0,0.5434757382294312
QQQ,50,0.25,0.6364683069466728
QQQ,50,0.5,0.7489488445716473
QQQ,50,0.75,0.7790679228842731
QQQ,50,1.0,0.9940647206045355
IWM,1,0.0,0.8277327666997927
IWM,1,0.25,0.8140234484669467
IWM,1,0.5,0.793118285767808
IWM,1,0.75,0.821757260080997
IWM,1,1.0,0.8643694536581248
IWM,3,0.0,0.8013755299300899
IWM,3,0.25,0.7936603896114454
IWM,3,0.5,0.7887792134190574
IWM,3,0.75,0.8341603815818798
IWM,3,1.0,0.8643694536581248
IWM,5,0.0,0.7841962947114186
IWM,5,0.25,0.7946621856720916
IWM,5,0.5,0.7940310095477514
IWM,5,0.75,0.827900236726359
IWM,5,1.0,0.8643694536581248
IWM,8,0.0,0.7383387178065117
IWM,8,0.25,0.7477569361611428
IWM,8,0.5,0.7809604680052468
IWM,8,0.75,0.7973598211356352
IWM,8,1.0,0.8643694536581248
IWM,12,0.0,0.6190631672136204
IWM,12,0.25,0.6586110612691676
IWM,12,0.5,0.6926866967266351
IWM,12,0.75,0.788737675987465
IWM,12,1.0,0.8643694536581248
IWM,18,0.0,0.5169577677646385
IWM,18,0.25,0.5444990714946187
IWM,18,0.5,0.6812753325280991
IWM,18,0.75,0.7711568154638911
IWM,18,1.0,0.8643694536581248
IWM,25,0.0,0.39167341045096
IWM,25,0.25,0.4926068895053981
IWM,25,0.5,0.5880293209284708
IWM,25,0.75,0.7199888433419441
IWM,25,1.0,0.8643694536581248
IWM,35,0.0,0.39981807822081467
IWM,35,0.25,0.46211920135883666
IWM,35,0.5,0.5474181005501658
IWM,35,0.75,0.701155501293751
IWM,35,1.0,0.8643694536581248
IWM,50,0.0,0.5818520129774568
IWM,50,0.25,0.5387332493397468
IWM,50,0.5,0.5635780043438311
IWM,50,0.75,0.7209946935165599
IWM,50,1.0,0.8643694536581248
AAPL,1,0.0,1.0746418939998907
AAPL,1,0.25,1.082460473756264
AAPL,1,0.5,1.0840768362905366
AAPL,1,0.75,1.0854126864740261
AAPL,1,1.0,1.1335521595890115
AAPL,3,0.0,1.0371616970862665
AAPL,3,0.25,1.0675853811729936
AAPL,3,0.5,1.0720133089782296
AAPL,3,0.75,1.0532437228377869
AAPL,3,1.0,1.1335521595890115
AAPL,5,0.0,0.9554172084008128
AAPL,5,0.25,0.9788336605203648
AAPL,5,0.5,1.0115337683207037
AAPL,5,0.75,1.039662322927665
AAPL,5,1.0,1.1335521595890115
AAPL,8,0.0,0.9125937029987212
AAPL,8,0.25,0.9867898450884334
AAPL,8,0.5,1.0073220181713405
AAPL,8,0.75,1.0362024633550275
AAPL,8,1.0,1.1335521595890115
AAPL,12,0.0,0.9001835724609265
AAPL,12,0.25,0.9832603702402404
AAPL,12,0.5,0.9738048996911098
