ticker,n_mu,x,kurtosis
AAPL,8,0.25,33.40758651474746
AAPL,8,0.5,30.732381190013626
AAPL,8,0.75,26.861364870547373
AAPL,8,1.0,24.1752326850506
AAPL,12,0.0,40.38183960613191
AAPL,12,0.25,34.35182327437585
AAPL,12,0.5,30.933537811883323
AAPL,12,0.75,26.627473970649902
AAPL,12,1.0,24.1752326850506
AAPL,18,0.0,53.07133933515494
AAPL,18,0.25,40.881700770030825
AAPL,18,0.5,34.71220329324455
AAPL,18,0.75,28.645044914391036
AAPL,18,1.0,24.1752326850506
AAPL,25,0.0,56.67157191506471
AAPL,25,0.25,44.64885801945454
AAPL,25,0.5,38.14657857785415
AAPL,25,0.75,31.622013523178566
AAPL,25,1.0,24.1752326850506
AAPL,35,0.0,68.85713279475088
AAPL,35,0.25,48.13728048990348
AAPL,35,0.5,39.46968583844137
AAPL,35,0.75,32.2714012774884
AAPL,35,1.0,24.1752326850506
AAPL,50,0.0,81.2075079429877
AAPL,50,0.25,59.96379255191646
AAPL,50,0.5,42.604506391436914
AAPL,50,0.75,34.53818981469283
AAPL,50,1.0,24.1752326850506
GOOGL,1,0.0,25.446544881134667
GOOGL,1,0.25,24.640046696383052
GOOGL,1,0.5,24.416991145107932
GOOGL,1,0.75,23.252420015321377
GOOGL,1,1.0,22.692416304019833
GOOGL,3,0.0,29.511216724912078
GOOGL,3,0.25,27.692521183635023
GOOGL,3,0.5,25.862175432643543
GOOGL,3,0.75,23.888588622747026
GOOGL,3,1.0,22.692416304019833
GOOGL,5,0.0,32.10627550223259
GOOGL,5,0.25,29.35041122122651
GOOGL,5,0.5,26.66532327073605
GOOGL,5,0.75,24.84545819481043
GOOGL,5,1.0,22.692416304019833
GOOGL,8,0.0,37.64514596687838
GOOGL,8,0.25,33.84416802722105
GOOGL,8,0.5,29.438771832081823
GOOGL,8,0.75,25.617814794817168
GOOGL,8,1.0,22.692416304019833
GOOGL,12,0.0,41.49316669827578
GOOGL,12,0.25,35.09437585480055
GOOGL,12,0.5,29.97403523896399
GOOGL,12,0.75,26.78502708155257
GOOGL,12,1.0,22.692416304019833
GOOGL,18,0.0,54.95038303380983
GOOGL,18,0.25,39.20673284960064
GOOGL,18,0.5,33.28311195214306
GOOGL,18,0.75,27.7655184711745
GOOGL,18,1.0,22.692416304019833
GOOGL,25,0.0,62.76716123235237
GOOGL,25,0.25,41.8738917831384
GOOGL,25,0.5,33.32430214967088
GOOGL,25,0.75,28.555671917136987
GOOGL,25,1.0,22.692416304019833
GOOGL,35,0.0,73.51144108982452
GOOGL,35,0.25,45.18149302732213
GOOGL,35,0.5,34.85594904237015
GOOGL,35,0.75,29.579962408941828
GOOGL,35,1.0,22.692416304019833
GOOGL,50,0.0,87.27488555507689
GOOGL,50,0.25,49.73009901027647
GOOGL,50,0.5,36.28995051935929
GOOGL,50,0.75,31.765148102779673
GOOGL,50,1.0,22.692416304019833
BTC-USD,1,0.0,25.699834646480003
BTC-USD,1,0.25,25.31025234698225
BTC-USD,1,0.5,23.975240116579016
BTC-USD,1,0.75,23.04759942989828
BTC-USD,1,1.0,22.782112249386802
BTC-USD,3,0.0,27.951549727394376
BTC-USD,3,0.25,26.648339312949833
BTC-USD,3,0.5,24.545137312390125
BTC-USD,3,0.75,23.618093978996313
BTC-USD,3,1.0,22.782112249386802
BTC-USD,5,0.0,32.26795748268197
BTC-USD,5,0.25,29.071120026595626
BTC-USD,5,0.5,25.933775360095833
BTC-USD,5,0.75,24.42638176092647
BTC-USD,5,1.0,22.782112249386802
BTC-USD,8,0.0,33.95578481010774
BTC-USD,8,0.25,30.73822465939675
BTC-USD,8,0.5,27.062473785186395
BTC-USD,8,0.75,25.052089843535697
BTC-USD,8,1.0,22.782112249386802
BTC-USD,12,0.0,38.9215425786251
BTC-USD,12,0.25,37.4714323080506
BTC-USD,12,0.5,30.020076339713018
BTC-USD,12,0.75,26.824989854553323
BTC-USD,12,1.0,22.782112249386802
BTC-USD,18,0.0,51.303975859468835
BTC-USD,18,0.25,41.934560349010134
BTC-USD,18,0.5,30.56376140751018
BTC-USD,18,0.75,27.505386141017528
BTC-USD,18,1.0,22.782112249386802
BTC-USD,25,0.0,58.56494494665058
BTC-USD,25,0.25,46.66368331329695
BTC-USD,25,0.5,33.47453783951865
BTC-USD,25,0.75,28.459152364161763
BTC-USD,25,1.0,22.782112249386802
BTC-USD,35,0.0,62.15717767334417
BTC-USD,35,0.25,52.58224235568256
BTC-USD,35,0.5,37.65896608733083
BTC-USD,35,0.75,30.00127409825687
BTC-USD,35,1.0,22.782112249386802
BTC-USD,50,0.0,105.73099874084456
BTC-USD,50,0.25,56.600229501261815
BTC-USD,50,0.5,39.63751146236975
BTC-USD,50,0.75,32.07667749609197
BTC-USD,50,1.0,22.782112249386802
ETH-USD,1,0.0,26.243749175352434
ETH-USD,1,0.25,25.78603481532194
ETH-USD,1,0.5,24.661272732768776
ETH-USD,1,0.75,22.891495730360315
ETH-USD,1,1.0,22.886718222061955
ETH-USD,3,0.0,27.490565546512073
ETH-USD,3,0.25,26.28859895196022
ETH-USD,3,0.5,24.67470231493922
ETH-USD,3,0.75,23.515979940056166
ETH-USD,3,1.0,22.886718222061955
ETH-USD,5,0.0,32.581421105430614
ETH-USD,5,0.25,30.70655489880099
ETH-USD,5,0.5,27.51262651950488
ETH-USD,5,0.75,24.21923347731924
ETH-USD,5,1.0,22.886718222061955
ETH-USD,8,0.0,36.865098010300024
ETH-USD,8,0.25,33.25716954084949
ETH-USD,8,0.5,28.91477635413257
ETH-USD,8,0.75,24.751184442136694
ETH-USD,8,1.0,22.886718222061955
ETH-USD,12,0.0,43.00252522948045
ETH-USD,12,0.25,37.02675022914257
ETH-USD,12,0.5,30.885042660869846
ETH-USD,12,0.75,25.81840600808435
ETH-USD,12,1.0,22.886718222061955
ETH-USD,18,0.0,47.57428794711918
ETH-USD,18,0.25,39.72298756750536
ETH-USD,18,0.5,193.15303904981616
ETH-USD,18,0.75,140.5028596020072
ETH-USD,18,1.0,22.886718222061955
ETH-USD,25,0.0,50.033335672490615
ETH-USD,25,0.25,40.64277151795608
ETH-USD,25,0.5,183.06944720106287
ETH-USD,25,0.75,179.68571004906025
ETH-USD,25,1.0,22.886718222061955
ETH-USD,35,0.0,56.45439838207141
