ticker,n_mu,x,win_rate
AAPL,3,1.0,0.4478255104746751
AAPL,5,0.0,0.43363829223017764
AAPL,5,0.25,0.43542826836382925
AAPL,5,0.5,0.44238928666136307
AAPL,5,0.75,0.4430522407849377
AAPL,5,1.0,0.4478255104746751
AAPL,8,0.0,0.4329090426942456
AAPL,8,0.25,0.4380137894457703
AAPL,8,0.5,0.4450411031556616
AAPL,8,0.75,0.4435826040837974
AAPL,8,1.0,0.4478255104746751
AAPL,12,0.0,0.431980906921241
AAPL,12,0.25,0.437682312383983
AAPL,12,0.5,0.44384778573322725
AAPL,12,0.75,0.44013524264120923
AAPL,12,1.0,0.4478255104746751
AAPL,18,0.0,0.4314505436223813
AAPL,18,0.25,0.43443383717846723
AAPL,18,0.5,0.44252187748607796
AAPL,18,0.75,0.43635640413683374
AAPL,18,1.0,0.4478255104746751
AAPL,25,0.0,0.4246221161495624
AAPL,25,0.25,0.42979315831344467
AAPL,25,0.5,0.4359586316626889
AAPL,25,0.75,0.4352956775391143
AAPL,25,1.0,0.4478255104746751
AAPL,35,0.0,0.42197029965526384
AAPL,35,0.25,0.4205118005833996
AAPL,35,0.5,0.43005833996287457
AAPL,35,0.75,0.4354282683638293
AAPL,35,1.0,0.4478255104746751
AAPL,50,0.0,0.4287987271280827
AAPL,50,0.25,0.4260806152214267
AAPL,50,0.5,0.43304163351896047
AAPL,50,0.75,0.4375497215592681
AAPL,50,1.0,0.4478255104746751
GOOGL,1,0.0,0.43469901882789713
GOOGL,1,0.25,0.43768231238398303
GOOGL,1,0.5,0.43953858392999196
GOOGL,1,0.75,0.44179262795014584
GOOGL,1,1.0,0.4443118536197295
GOOGL,3,0.0,0.44046671970299656
GOOGL,3,0.25,0.44311853619729513
GOOGL,3,0.5,0.4432511270220101
GOOGL,3,0.75,0.44192521877486074
GOOGL,3,1.0,0.4443118536197295
GOOGL,5,0.0,0.4402015380535667
GOOGL,5,0.25,0.44411296738265715
GOOGL,5,0.5,0.446234420578096
GOOGL,5,0.75,0.4416600371254309
GOOGL,5,1.0,0.4443118536197295
GOOGL,8,0.0,0.4394059931052771
GOOGL,8,0.25,0.4432511270220101
GOOGL,8,0.5,0.4464996022275258
GOOGL,8,0.75,0.4417263325377884
GOOGL,8,1.0,0.4443118536197295
GOOGL,12,0.0,0.44371519490851236
GOOGL,12,0.25,0.4448422169185893
GOOGL,12,0.5,0.44722885176345795
GOOGL,12,0.75,0.442389286661363
GOOGL,12,1.0,0.4443118536197295
GOOGL,18,0.0,0.4449085123309467
GOOGL,18,0.25,0.43814638027048525
GOOGL,18,0.5,0.4471625563511005
GOOGL,18,0.75,0.434699018827897
GOOGL,18,1.0,0.4443118536197295
GOOGL,25,0.0,0.44915141872182446
GOOGL,25,0.25,0.43721824449748076
GOOGL,25,0.5,0.44298594537258024
GOOGL,25,0.75,0.43072129408644916
GOOGL,25,1.0,0.4443118536197295
GOOGL,35,0.0,0.4403341288782816
GOOGL,35,0.25,0.4328427472818881
GOOGL,35,0.5,0.44073190135242646
GOOGL,35,0.75,0.42455582073720494
GOOGL,35,1.0,0.4443118536197295
GOOGL,50,0.0,0.45810129939008215
GOOGL,50,0.25,0.43231238398302835
GOOGL,50,0.5,0.44013524264120923
GOOGL,50,0.75,0.4182577565632459
GOOGL,50,1.0,0.4443118536197295
BTC-USD,1,0.0,0.4285208775654636
BTC-USD,1,0.25,0.4308967748458195
BTC-USD,1,0.5,0.4319583459710848
BTC-USD,1,0.75,0.4330199170963503
BTC-USD,1,1.0,0.43514305934688097
BTC-USD,3,0.0,0.4265493883328279
BTC-USD,3,0.25,0.4308967748458194
BTC-USD,3,0.5,0.4308967748458194
BTC-USD,3,0.75,0.4331715701142453
BTC-USD,3,1.0,0.43514305934688097
BTC-USD,5,0.0,0.42659993933879276
BTC-USD,5,0.25,0.42857142857142866
BTC-USD,5,0.5,0.4261449802851076
BTC-USD,5,0.75,0.4296329996966939
BTC-USD,5,1.0,0.43514305934688097
BTC-USD,8,0.0,0.42675159235668786
BTC-USD,8,0.25,0.4280153675058133
BTC-USD,8,0.5,0.42392073602264685
BTC-USD,8,0.75,0.4285208775654635
BTC-USD,8,1.0,0.43514305934688097
BTC-USD,12,0.0,0.42139318572439594
BTC-USD,12,0.25,0.4290769386310787
BTC-USD,12,0.5,0.42048326761702554
BTC-USD,12,0.75,0.42680214336265293
BTC-USD,12,1.0,0.43514305934688097
BTC-USD,18,0.0,0.42518451117177225
BTC-USD,18,0.25,0.42917804064300874
BTC-USD,18,0.5,0.42316247093317155
BTC-USD,18,0.75,0.42902638762511375
BTC-USD,18,1.0,0.43514305934688097
BTC-USD,25,0.0,0.4313011828935395
BTC-USD,25,0.25,0.4305429178040643
BTC-USD,25,0.5,0.4203316145991305
BTC-USD,25,0.75,0.42761095945809324
