ticker,n_mu,x,recovery
AAPL,35,1.0,7.675133836581296
AAPL,50,0.0,2.585624200137931
AAPL,50,0.25,1.9061519161120264
AAPL,50,0.5,1.8857378168288896
AAPL,50,0.75,2.919161872876517
AAPL,50,1.0,7.675133836581296
GOOGL,1,0.0,0.2235015246866049
GOOGL,1,0.25,0.37847385929272953
GOOGL,1,0.5,0.5146097013571883
GOOGL,1,0.75,0.3874288189537291
GOOGL,1,1.0,0.36542732622165547
GOOGL,3,0.0,1.6874914836175539
GOOGL,3,0.25,1.8733414501481815
GOOGL,3,0.5,1.1076664069530553
GOOGL,3,0.75,0.5570254385838094
GOOGL,3,1.0,0.36542732622165547
GOOGL,5,0.0,1.381751163376632
GOOGL,5,0.25,1.852910757647984
GOOGL,5,0.5,1.2616887069323939
GOOGL,5,0.75,0.6183290492634831
GOOGL,5,1.0,0.36542732622165547
GOOGL,8,0.0,1.2915501104772047
GOOGL,8,0.25,2.3551684368863355
GOOGL,8,0.5,2.3202863239536575
GOOGL,8,0.75,1.1839654899033734
GOOGL,8,1.0,0.36542732622165547
GOOGL,12,0.0,2.0812265727220214
GOOGL,12,0.25,1.4821975857232148
GOOGL,12,0.5,1.5812028192842276
GOOGL,12,0.75,1.1246062029359207
GOOGL,12,1.0,0.36542732622165547
GOOGL,18,0.0,1.6709816880452184
GOOGL,18,0.25,1.0292891898769523
GOOGL,18,0.5,1.8927969665463034
GOOGL,18,0.75,0.5441604862786861
GOOGL,18,1.0,0.36542732622165547
GOOGL,25,0.0,2.138042174638817
GOOGL,25,0.25,0.579574347918051
GOOGL,25,0.5,1.055466053164152
GOOGL,25,0.75,0.5481824820079074
GOOGL,25,1.0,0.36542732622165547
GOOGL,35,0.0,1.5447507792210515
GOOGL,35,0.25,0.477388398096176
GOOGL,35,0.5,1.2165561487562373
GOOGL,35,0.75,0.4062502541650195
GOOGL,35,1.0,0.36542732622165547
GOOGL,50,0.0,4.136807559672166
GOOGL,50,0.25,0.5292652548488676
GOOGL,50,0.5,0.8358630114426514
GOOGL,50,0.75,0.5923060693675931
GOOGL,50,1.0,0.36542732622165547
BTC-USD,1,0.0,45.506820138973175
BTC-USD,1,0.25,66.192780404836
BTC-USD,1,0.5,52.577173158961806
BTC-USD,1,0.75,55.37840428945702
BTC-USD,1,1.0,66.90065243140506
BTC-USD,3,0.0,30.359787623002074
BTC-USD,3,0.25,66.65285695896576
BTC-USD,3,0.5,42.11906384930311
BTC-USD,3,0.75,68.12085882511538
BTC-USD,3,1.0,66.90065243140506
BTC-USD,5,0.0,26.077174242109788
BTC-USD,5,0.25,87.70033750283869
BTC-USD,5,0.5,33.95963972105415
BTC-USD,5,0.75,61.242821960766264
BTC-USD,5,1.0,66.90065243140506
BTC-USD,8,0.0,21.179929029770864
BTC-USD,8,0.25,78.93523109224195
BTC-USD,8,0.5,28.62424685306266
BTC-USD,8,0.75,44.05878127747274
BTC-USD,8,1.0,66.90065243140506
BTC-USD,12,0.0,12.31269652841032
BTC-USD,12,0.25,254.2816870582375
BTC-USD,12,0.5,29.214532571736726
BTC-USD,12,0.75,51.52243803780152
BTC-USD,12,1.0,66.90065243140506
BTC-USD,18,0.0,12.407977339685045
BTC-USD,18,0.25,115.24505905353777
BTC-USD,18,0.5,31.031315769345365
BTC-USD,18,0.75,54.85009989256662
BTC-USD,18,1.0,66.90065243140506
BTC-USD,25,0.0,27.731838649373497
BTC-USD,25,0.25,196.01952678397777
BTC-USD,25,0.5,22.623477016644895
BTC-USD,25,0.75,30.174876572340413
BTC-USD,25,1.0,66.90065243140506
BTC-USD,35,0.0,15.578751447002453
BTC-USD,35,0.25,101.01150998567208
BTC-USD,35,0.5,23.724031521208147
BTC-USD,35,0.75,45.03134435455362
BTC-USD,35,1.0,66.90065243140506
BTC-USD,50,0.0,11.52481891087371
BTC-USD,50,0.25,42.4970361203214
BTC-USD,50,0.5,29.55839791305897
BTC-USD,50,0.75,49.8313129138319
BTC-USD,50,1.0,66.90065243140506
ETH-USD,1,0.0,132.73362067914766
ETH-USD,1,0.25,115.02586622659048
ETH-USD,1,0.5,97.47855404787101
ETH-USD,1,0.75,92.70197534832205
ETH-USD,1,1.0,101.89230112640102
ETH-USD,3,0.0,156.86168298675045
ETH-USD,3,0.25,142.6152792855887
ETH-USD,3,0.5,149.1063168110544
ETH-USD,3,0.75,168.33197704106053
ETH-USD,3,1.0,101.89230112640102
ETH-USD,5,0.0,87.1447554374335
ETH-USD,5,0.25,66.51925028655864
ETH-USD,5,0.5,88.57065774020333
ETH-USD,5,0.75,102.75804670380602
ETH-USD,5,1.0,101.89230112640102
ETH-USD,8,0.0,49.28924677924541
ETH-USD,8,0.25,56.85555233699852
ETH-USD,8,0.5,45.47455197714077
ETH-USD,8,0.75,43.28577898325076
ETH-USD,8,1.0,101.89230112640102
ETH-USD,12,0.0,77.12419432320722
ETH-USD,12,0.25,87.50840878178572
ETH-USD,12,0.5,39.098226146337446
ETH-USD,12,0.75,30.02094582818123
ETH-USD,12,1.0,101.89230112640102
ETH-USD,18,0.0,38.8376544616215
ETH-USD,18,0.25,77.04707720378319
ETH-USD,18,0.5,63.54603556393227
ETH-USD,18,0.75,58.75606272220106
ETH-USD,18,1.0,101.89230112640102
ETH-USD,25,0.0,27.850201375043138
ETH-USD,25,0.25,18.735147006784697
ETH-USD,25,0.5,60.196191464031074
ETH-USD,25,0.75,61.7865412595042
ETH-USD,25,1.0,101.89230112640102
ETH-USD,35,0.0,11.391203005359031
ETH-USD,35,0.25,6.479069729182888
ETH-USD,35,0.5,16.389199509636835
ETH-USD,35,0.75,28.4817971873919
ETH-USD,35,1.0,101.89230112640102
ETH-USD,50,0.0,13.242301086108865
ETH-USD,50,0.25,10.42271747515883
ETH-USD,50,0.5,6.302649490983935
ETH-USD,50,0.75,37.463859483249685
ETH-USD,50,1.0,101.89230112640102
GLD,1,0.0,1.6394992095952308
GLD,1,0.25,1.3050588877797773
GLD,1,0.5,2.178246241098811
GLD,1,0.75,2.0893110760259552
GLD,1,1.0,1.3454950296531554
GLD,3,0.0,1.164671544504145
GLD,3,0.25,0.9928980562403393
GLD,3,0.5,2.177022141435701
GLD,3,0.75,2.0512154222685393
GLD,3,1.0,1.3454950296531554
GLD,5,0.0,2.0698964559053827
GLD,5,0.25,1.2260432692847452
GLD,5,0.5,1.8805417272138065
GLD,5,0.75,1.7049718225385895
GLD,5,1.0,1.3454950296531554
GLD,8,0.0,1.2845381338206123
GLD,8,0.25,0.4662313532403233
GLD,8,0.5,1.28458620885927
GLD,8,0.75,1.4658528504942339
GLD,8,1.0,1.3454950296531554
GLD,12,0.0,3.7318169105782424
GLD,12,0.25,1.1523295820683093
GLD,12,0.5,1.6969764863899117
GLD,12,0.75,0.6820910724963848
GLD,12,1.0,1.3454950296531554
GLD,18,0.0,1.9780277134898459
GLD,18,0.25,0.45174543760763264
GLD,18,0.5,1.3331161243335388
GLD,18,0.75,0.20612866316220468
GLD,18,1.0,1.3454950296531554
GLD,25,0.0,1.453280774110703
GLD,25,0.25,0.4012680656799874
GLD,25,0.5,1.7980545152083403
GLD,25,0.75,0.57106252383845
GLD,25,1.0,1.3454950296531554
GLD,35,0.0,1.1111872721181213
GLD,35,0.25,-0.10869447183500312
GLD,35,0.5,1.5208883174442978
GLD,35,0.75,0.5900612820479202
GLD,35,1.0,1.3454950296531554
GLD,50,0.0,1.6641014588915126
GLD,50,0.25,0.6838064811996155
GLD,50,0.5,1.7913049103268504
GLD,50,0.75,0.3835038061989688
GLD,50,1.0,1.3454950296531554
SLV,1,0.0,-0.7036435804202051
SLV,1,0.25,-0.7757329619506201
SLV,1,0.5,-0.7024953119589639
SLV,1,0.75,-0.6706628683505969
SLV,1,1.0,-0.6269485545036994
SLV,3,0.0,-0.7649379099479504
SLV,3,0.25,-0.7875762928293959
SLV,3,0.5,-0.7512563303548884
SLV,3,0.75,-0.6843882722066817
SLV,3,1.0,-0.6269485545036994
SLV,5,0.0,-0.566218729487355
SLV,5,0.25,-0.616133509557211
SLV,5,0.5,-0.4967922461623904
SLV,5,0.75,-0.5558831170193824
SLV,5,1.0,-0.6269485545036994
SLV,8,0.0,-0.3682111824707898
SLV,8,0.25,-0.364706872112561
SLV,8,0.5,-0.3361982880917973
SLV,8,0.75,-0.48947649072124344
SLV,8,1.0,-0.6269485545036994
SLV,12,0.0,0.22036942449963814
SLV,12,0.25,-0.22561215935560364
SLV,12,0.5,-0.38091400297689065
SLV,12,0.75,-0.5382231224052146
SLV,12,1.0,-0.6269485545036994
SLV,18,0.0,0.08524773028887646
SLV,18,0.25,-0.14819455604229306
SLV,18,0.5,-0.4147003845700887
SLV,18,0.75,-0.5673751149496018
SLV,18,1.0,-0.6269485545036994
SLV,25,0.0,-0.4895218107932218
SLV,25,0.25,-0.7030426178602044
SLV,25,0.5,-0.343084668135337
SLV,25,0.75,-0.5780248065250417
SLV,25,1.0,-0.6269485545036994
SLV,35,0.0,0.3975275654877615
SLV,35,0.25,-0.6095149337968647
SLV,35,0.5,-0.36569815399146205
SLV,35,0.75,-0.4274750595185381
SLV,35,1.0,-0.6269485545036994
SLV,50,0.0,-0.558450021656702
SLV,50,0.25,-0.199546578718887
SLV,50,0.5,-0.23756249837692667
SLV,50,0.75,-0.40758933754706045
SLV,50,1.0,-0.6269485545036994
