ticker,n_mu,x,std_losses
ETH-USD,50,0.5,0.05395091865869341
ETH-USD,50,0.75,0.05701402484263052
ETH-USD,50,1.0,0.06193267765671725
GLD,1,0.0,0.053849716957713345
GLD,1,0.25,0.05512040923917796
GLD,1,0.5,0.05553917712075338
GLD,1,0.75,0.056565410860087866
GLD,1,1.0,0.057949939288215464
GLD,3,0.0,0.05156072662608205
GLD,3,0.25,0.05316246348839307
GLD,3,0.5,0.05416678762031713
GLD,3,0.75,0.05494989298043468
GLD,3,1.0,0.057949939288215464
GLD,5,0.0,0.048542774617022
GLD,5,0.25,0.05072487218391267
GLD,5,0.5,0.0523060366623635
GLD,5,0.75,0.05461381408932756
GLD,5,1.0,0.057949939288215464
GLD,8,0.0,0.044465086749932735
GLD,8,0.25,0.047528529146451975
GLD,8,0.5,0.0500076062193297
GLD,8,0.75,0.05350779016402161
GLD,8,1.0,0.057949939288215464
GLD,12,0.0,0.03823014101886593
GLD,12,0.25,0.04432110373994936
GLD,12,0.5,0.047975498604655116
GLD,12,0.75,0.05284376203603993
GLD,12,1.0,0.057949939288215464
GLD,18,0.0,0.03733104808413057
GLD,18,0.25,0.04242532013618164
GLD,18,0.5,0.04594964928301179
GLD,18,0.75,0.05196651097487722
GLD,18,1.0,0.057949939288215464
GLD,25,0.0,0.03519256208691724
GLD,25,0.25,0.040263059843413176
GLD,25,0.5,0.04368755438299122
GLD,25,0.75,0.050940574822244296
GLD,25,1.0,0.057949939288215464
GLD,35,0.0,0.031290741331257255
GLD,35,0.25,0.03688557891658781
GLD,35,0.5,0.041875366671955315
GLD,35,0.75,0.04910055521165785
GLD,35,1.0,0.057949939288215464
GLD,50,0.0,0.031324133107318304
GLD,50,0.25,0.03698823096600809
GLD,50,0.5,0.042447967549375965
GLD,50,0.75,0.04882969904957934
GLD,50,1.0,0.057949939288215464
SLV,1,0.0,0.058372974053673844
SLV,1,0.25,0.06015407795199146
SLV,1,0.5,0.06092580397514186
SLV,1,0.75,0.062249961841538116
SLV,1,1.0,0.06263801855198893
SLV,3,0.0,0.05577426255013209
SLV,3,0.25,0.05806130970006232
SLV,3,0.5,0.060178856728872486
SLV,3,0.75,0.0612901497290227
SLV,3,1.0,0.06263801855198893
SLV,5,0.0,0.05270687998605201
SLV,5,0.25,0.055445171768405355
SLV,5,0.5,0.05841418490246226
SLV,5,0.75,0.061053719988288714
SLV,5,1.0,0.06263801855198893
SLV,8,0.0,0.04889892032110018
SLV,8,0.25,0.051624794451198754
SLV,8,0.5,0.05542190762833114
SLV,8,0.75,0.059970441578476995
SLV,8,1.0,0.06263801855198893
SLV,12,0.0,0.04583819399919192
SLV,12,0.25,0.04819778783769626
SLV,12,0.5,0.05315730119541659
SLV,12,0.75,0.059030014060648124
SLV,12,1.0,0.06263801855198893
SLV,18,0.0,0.04102980052924341
SLV,18,0.25,0.04496550748352059
SLV,18,0.5,0.05185775559671115
SLV,18,0.75,0.058128927298631415
SLV,18,1.0,0.06263801855198893
SLV,25,0.0,0.039809045120499965
SLV,25,0.25,0.04361307328400807
SLV,25,0.5,0.05051032317361035
SLV,25,0.75,0.057164821596378555
SLV,25,1.0,0.06263801855198893
SLV,35,0.0,0.037003105587961875
SLV,35,0.25,0.04212246344495124
SLV,35,0.5,0.04685332387916841
SLV,35,0.75,0.055264931801100814
SLV,35,1.0,0.06263801855198893
SLV,50,0.0,0.03758146620935124
SLV,50,0.25,0.0399224855855698
SLV,50,0.5,0.04610450843965258
SLV,50,0.75,0.05497693561044579
SLV,50,1.0,0.06263801855198893
