ticker,n_mu,x,skewness
AAPL,18,1.0,2.4133879547937145
AAPL,25,0.0,3.719532300438662
AAPL,25,0.25,3.25031537436838
AAPL,25,0.5,3.0099254305650063
AAPL,25,0.75,2.713108964334072
AAPL,25,1.0,2.4133879547937145
AAPL,35,0.0,4.124715226955316
AAPL,35,0.25,3.361738617297082
AAPL,35,0.5,2.944021499909706
AAPL,35,0.75,2.6032474144664683
AAPL,35,1.0,2.4133879547937145
AAPL,50,0.0,4.156949966641579
AAPL,50,0.25,3.5637364361656023
AAPL,50,0.5,3.02303020318403
AAPL,50,0.75,2.729594557916732
AAPL,50,1.0,2.4133879547937145
GOOGL,1,0.0,2.622440920915635
GOOGL,1,0.25,2.5548437401103197
GOOGL,1,0.5,2.5220563554375564
GOOGL,1,0.75,2.3719985753954975
GOOGL,1,1.0,2.3095579851651062
GOOGL,3,0.0,2.8326992926545174
GOOGL,3,0.25,2.712601723457297
GOOGL,3,0.5,2.587036168747123
GOOGL,3,0.75,2.410212727355379
GOOGL,3,1.0,2.3095579851651062
GOOGL,5,0.0,2.8988735733780824
GOOGL,5,0.25,2.7670065728851276
GOOGL,5,0.5,2.5865368786149747
GOOGL,5,0.75,2.458957680052191
GOOGL,5,1.0,2.3095579851651062
GOOGL,8,0.0,3.1919461630844843
GOOGL,8,0.25,3.0031457766221874
GOOGL,8,0.5,2.802471695510819
GOOGL,8,0.75,2.542644355842113
GOOGL,8,1.0,2.3095579851651062
GOOGL,12,0.0,3.2596979839085605
GOOGL,12,0.25,2.9450946593365277
GOOGL,12,0.5,2.730939021277964
GOOGL,12,0.75,2.5603778199137155
GOOGL,12,1.0,2.3095579851651062
GOOGL,18,0.0,3.613364601749282
GOOGL,18,0.25,3.0180221342454296
GOOGL,18,0.5,2.887970344067561
GOOGL,18,0.75,2.5955393000299463
GOOGL,18,1.0,2.3095579851651062
GOOGL,25,0.0,3.9612900379047495
GOOGL,25,0.25,3.151017757670433
GOOGL,25,0.5,2.87471189211475
GOOGL,25,0.75,2.631763188791813
GOOGL,25,1.0,2.3095579851651062
GOOGL,35,0.0,3.9880844829830395
GOOGL,35,0.25,3.1768012671066455
GOOGL,35,0.5,2.9096996638626487
GOOGL,35,0.75,2.657768958102606
GOOGL,35,1.0,2.3095579851651062
GOOGL,50,0.0,4.534596930628801
GOOGL,50,0.25,3.3487060231391816
GOOGL,50,0.5,2.929134342613335
GOOGL,50,0.75,2.767784069236726
GOOGL,50,1.0,2.3095579851651062
BTC-USD,1,0.0,2.685071352664752
BTC-USD,1,0.25,2.610410442604067
BTC-USD,1,0.5,2.4596183324301513
BTC-USD,1,0.75,2.3193488859420683
BTC-USD,1,1.0,2.282143997929723
BTC-USD,3,0.0,2.7137479951015977
BTC-USD,3,0.25,2.6257377929396495
BTC-USD,3,0.5,2.4558599431647647
BTC-USD,3,0.75,2.3620923231151285
BTC-USD,3,1.0,2.282143997929723
BTC-USD,5,0.0,2.8946760373579266
BTC-USD,5,0.25,2.768880698953241
BTC-USD,5,0.5,2.540015285942092
BTC-USD,5,0.75,2.3828021629633693
BTC-USD,5,1.0,2.282143997929723
BTC-USD,8,0.0,2.9294473378465677
BTC-USD,8,0.25,2.785961532370834
BTC-USD,8,0.5,2.5525388744350224
BTC-USD,8,0.75,2.3754427407467635
BTC-USD,8,1.0,2.282143997929723
BTC-USD,12,0.0,3.0911824660732923
BTC-USD,12,0.25,3.153860423441806
BTC-USD,12,0.5,2.704161585963677
BTC-USD,12,0.75,2.4717081332212274
BTC-USD,12,1.0,2.282143997929723
BTC-USD,18,0.0,2.9314325995527377
BTC-USD,18,0.25,2.953459559396906
BTC-USD,18,0.5,2.702642413657486
BTC-USD,18,0.75,2.492927679507282
BTC-USD,18,1.0,2.282143997929723
BTC-USD,25,0.0,3.0834491823984624
BTC-USD,25,0.25,3.176437999010654
BTC-USD,25,0.5,2.7791965819950017
BTC-USD,25,0.75,2.4669173124370256
BTC-USD,25,1.0,2.282143997929723
BTC-USD,35,0.0,3.115437827047853
BTC-USD,35,0.25,3.29210347376088
BTC-USD,35,0.5,2.896131868406687
BTC-USD,35,0.75,2.553210787528958
BTC-USD,35,1.0,2.282143997929723
BTC-USD,50,0.0,3.3417510141459617
BTC-USD,50,0.25,3.2417293091959345
BTC-USD,50,0.5,2.9875216208700928
BTC-USD,50,0.75,2.6417129350791977
BTC-USD,50,1.0,2.282143997929723
ETH-USD,1,0.0,2.6052102751518724
ETH-USD,1,0.25,2.4859846138201465
ETH-USD,1,0.5,2.341364100917333
ETH-USD,1,0.75,2.0707543663810726
ETH-USD,1,1.0,2.0442734653918593
ETH-USD,3,0.0,2.5580511437619755
ETH-USD,3,0.25,2.4269483500462585
ETH-USD,3,0.5,2.28026328549373
ETH-USD,3,0.75,2.1246937143271354
ETH-USD,3,1.0,2.0442734653918593
ETH-USD,5,0.0,2.6004792909246937
ETH-USD,5,0.25,2.405921541892834
ETH-USD,5,0.5,2.2343574043159844
ETH-USD,5,0.75,2.1460895109867435
ETH-USD,5,1.0,2.0442734653918593
ETH-USD,8,0.0,2.6457198915692945
ETH-USD,8,0.25,2.6204725013409926
ETH-USD,8,0.5,2.327245709604816
ETH-USD,8,0.75,2.120979270483405
ETH-USD,8,1.0,2.0442734653918593
ETH-USD,12,0.0,2.7749570279765003
ETH-USD,12,0.25,2.6529827754838657
ETH-USD,12,0.5,2.361447888467539
ETH-USD,12,0.75,2.140871334987743
ETH-USD,12,1.0,2.0442734653918593
ETH-USD,18,0.0,2.755372692984358
ETH-USD,18,0.25,2.6269881354645856
ETH-USD,18,0.5,0.20115894642478502
ETH-USD,18,0.75,1.183587487134989
ETH-USD,18,1.0,2.0442734653918593
ETH-USD,25,0.0,2.7520391049411117
ETH-USD,25,0.25,2.6170541079858105
ETH-USD,25,0.5,0.34228693762102386
ETH-USD,25,0.75,0.3263420572715483
ETH-USD,25,1.0,2.0442734653918593
ETH-USD,35,0.0,3.0247624928996495
ETH-USD,35,0.25,-0.8460722110191226
ETH-USD,35,0.5,-0.35267340745169545
ETH-USD,35,0.75,-0.3705781294841725
ETH-USD,35,1.0,2.0442734653918593
ETH-USD,50,0.0,1.4553410215409748
ETH-USD,50,0.25,2.6167377863763455
ETH-USD,50,0.5,2.2564208620262445
ETH-USD,50,0.75,2.2096013030788373
ETH-USD,50,1.0,2.0442734653918593
GLD,1,0.0,2.37719935748966
GLD,1,0.25,2.2897529309172513
GLD,1,0.5,2.295634195114406
GLD,1,0.75,2.2415333135839717
GLD,1,1.0,2.1310466616017543
GLD,3,0.0,2.4949836419074014
GLD,3,0.25,2.3827907518461355
GLD,3,0.5,2.372438426836768
GLD,3,0.75,2.3207868242450327
GLD,3,1.0,2.1310466616017543
GLD,5,0.0,2.677293320427372
GLD,5,0.25,2.4938799841939603
GLD,5,0.5,2.4392644239020855
GLD,5,0.75,2.326034637342555
GLD,5,1.0,2.1310466616017543
GLD,8,0.0,2.9720547728947033
GLD,8,0.25,2.6538579147261965
GLD,8,0.5,2.543078692451906
GLD,8,0.75,2.3492955101733877
GLD,8,1.0,2.1310466616017543
GLD,12,0.0,3.6543366016838608
GLD,12,0.25,2.962973385382337
GLD,12,0.5,2.715185867923079
GLD,12,0.75,2.3529615039804885
GLD,12,1.0,2.1310466616017543
GLD,18,0.0,3.665281596548287
GLD,18,0.25,3.0553300363850115
GLD,18,0.5,2.8182804692730437
GLD,18,0.75,2.364001686728216
GLD,18,1.0,2.1310466616017543
GLD,25,0.0,3.925349072730645
GLD,25,0.25,3.2581341349041666
GLD,25,0.5,2.9940471680069165
GLD,25,0.75,2.4171943962726483
GLD,25,1.0,2.1310466616017543
GLD,35,0.0,4.4079981734502125
GLD,35,0.25,3.481929453378607
GLD,35,0.5,3.099787110373048
GLD,35,0.75,2.507023102999892
GLD,35,1.0,2.1310466616017543
GLD,50,0.0,4.575718774778242
GLD,50,0.25,3.57351906537634
GLD,50,0.5,3.0897392583384318
GLD,50,0.75,2.514321261835402
GLD,50,1.0,2.1310466616017543
SLV,1,0.0,2.211215534537947
SLV,1,0.25,2.096318358218856
SLV,1,0.5,2.038588252087241
SLV,1,0.75,1.9740741608763426
SLV,1,1.0,1.9456638222896914
SLV,3,0.0,2.3232526601814185
SLV,3,0.25,2.172711112519757
SLV,3,0.5,2.0496893529221047
SLV,3,0.75,2.0024681397873807
SLV,3,1.0,1.9456638222896914
SLV,5,0.0,2.5193847316079245
SLV,5,0.25,2.327848194305119
SLV,5,0.5,2.1419838873958112
SLV,5,0.75,2.0224168087386905
SLV,5,1.0,1.9456638222896914
SLV,8,0.0,2.727076516751977
SLV,8,0.25,2.525183046293067
SLV,8,0.5,2.308338864708339
SLV,8,0.75,2.0792431996786265
SLV,8,1.0,1.9456638222896914
SLV,12,0.0,2.9103512592307577
SLV,12,0.25,2.703140733640591
SLV,12,0.5,2.397927493732405
SLV,12,0.75,2.115000093023133
SLV,12,1.0,1.9456638222896914
SLV,18,0.0,3.4334859179096004
SLV,18,0.25,3.0279949190013453
SLV,18,0.5,2.4875382508602097
SLV,18,0.75,2.1556301848963115
SLV,18,1.0,1.9456638222896914
SLV,25,0.0,3.4313928299654424
SLV,25,0.25,3.0043681678672574
SLV,25,0.5,2.5450040809123866
SLV,25,0.75,2.19127503069966
SLV,25,1.0,1.9456638222896914
SLV,35,0.0,3.9163824395522298
SLV,35,0.25,3.133556525258039
SLV,35,0.5,2.7746195431907537
SLV,35,0.75,2.300746159559134
SLV,35,1.0,1.9456638222896914
SLV,50,0.0,3.6959123491347605
SLV,50,0.25,3.3765400279091007
SLV,50,0.5,2.831812090432025
SLV,50,0.75,2.3175156699628503
SLV,50,1.0,1.9456638222896914
