ticker,n_mu,x,payoff_ratio
GLD,5,0.5,1.3483259616137329
GLD,5,0.75,1.3520320260637764
GLD,5,1.0,1.3431528586502148
GLD,8,0.0,1.3319623725080276
GLD,8,0.25,1.3421583280089147
GLD,8,0.5,1.330457872326829
GLD,8,0.75,1.348531499637712
GLD,8,1.0,1.3431528586502148
GLD,12,0.0,1.3008610771669262
GLD,12,0.25,1.326966146294718
GLD,12,0.5,1.3406943341498814
GLD,12,0.75,1.3452923049491918
GLD,12,1.0,1.3431528586502148
GLD,18,0.0,1.2967466434172044
GLD,18,0.25,1.3222234826382724
GLD,18,0.5,1.3323139460514537
GLD,18,0.75,1.337738608662263
GLD,18,1.0,1.3431528586502148
GLD,25,0.0,1.266423327528423
GLD,25,0.25,1.3031512689941482
GLD,25,0.5,1.3236084277021198
GLD,25,0.75,1.3370560632843873
GLD,25,1.0,1.3431528586502148
GLD,35,0.0,1.2609036714251434
GLD,35,0.25,1.313353710782638
GLD,35,0.5,1.3151543748190846
GLD,35,0.75,1.3323960777504513
GLD,35,1.0,1.3431528586502148
GLD,50,0.0,1.2149278406996888
GLD,50,0.25,1.3135660029847727
GLD,50,0.5,1.3260346385925643
GLD,50,0.75,1.356780692295145
GLD,50,1.0,1.3431528586502148
SLV,1,0.0,1.4284122341419636
SLV,1,0.25,1.4132241717721807
SLV,1,0.5,1.4033318504795629
SLV,1,0.75,1.3834441934592927
SLV,1,1.0,1.3673890864446694
SLV,3,0.0,1.4179313640097833
SLV,3,0.25,1.410929043363008
SLV,3,0.5,1.4063567252861329
SLV,3,0.75,1.3883377627332425
SLV,3,1.0,1.3673890864446694
SLV,5,0.0,1.408051492997477
SLV,5,0.25,1.406227341548947
SLV,5,0.5,1.4137626236515108
SLV,5,0.75,1.3864761158087957
SLV,5,1.0,1.3673890864446694
SLV,8,0.0,1.3554095128659347
SLV,8,0.25,1.3564610199671494
SLV,8,0.5,1.3816838132326226
SLV,8,0.75,1.3826536527568853
SLV,8,1.0,1.3673890864446694
SLV,12,0.0,1.2969275038613646
SLV,12,0.25,1.2900653246058729
SLV,12,0.5,1.3348422042987782
SLV,12,0.75,1.3501925986199756
SLV,12,1.0,1.3673890864446694
SLV,18,0.0,1.2738107435151476
SLV,18,0.25,1.286008488595838
SLV,18,0.5,1.3371176790882195
SLV,18,0.75,1.3544573073821458
SLV,18,1.0,1.3673890864446694
SLV,25,0.0,1.2409761932079475
