ticker,n_mu,x,calmar
SLV,8,0.0,-0.05429810286344571
SLV,8,0.25,-0.0500190101305918
SLV,8,0.5,-0.04499164154613442
SLV,8,0.75,-0.06202904216693884
SLV,8,1.0,-0.0816269647979356
SLV,12,0.0,-0.008898105056338769
SLV,12,0.25,-0.03387888324631905
SLV,12,0.5,-0.04902581139955658
SLV,12,0.75,-0.06903116301333205
SLV,12,1.0,-0.0816269647979356
SLV,18,0.0,0.008222889066174044
SLV,18,0.25,-0.015870207870998156
SLV,18,0.5,-0.06393088328411452
SLV,18,0.75,-0.07358627670776965
SLV,18,1.0,-0.0816269647979356
SLV,25,0.0,-0.06010876966844053
SLV,25,0.25,-0.09973691011141267
SLV,25,0.5,-0.06548567544766647
SLV,25,0.75,-0.07707604042310186
SLV,25,1.0,-0.0816269647979356
SLV,35,0.0,0.01325453893628835
SLV,35,0.25,-0.08184777716918874
SLV,35,0.5,-0.04197818110894349
SLV,35,0.75,-0.04992094502830712
SLV,35,1.0,-0.0816269647979356
SLV,50,0.0,-0.07426737033900949
SLV,50,0.25,-0.02642391452149176
SLV,50,0.5,-0.02812376480861963
SLV,50,0.75,-0.04917039851196333
SLV,50,1.0,-0.0816269647979356
