ticker,n_mu,x,sharpe
GOOGL,18,0.75,0.6350554638429781
GOOGL,18,1.0,0.6813561536342791
GOOGL,25,0.0,0.5313591340013218
GOOGL,25,0.25,0.5218969477310007
GOOGL,25,0.5,0.6057643934362474
GOOGL,25,0.75,0.6230863263147466
GOOGL,25,1.0,0.6813561536342791
GOOGL,35,0.0,0.47613860648967116
GOOGL,35,0.25,0.4822247352589304
GOOGL,35,0.5,0.5992082021614684
GOOGL,35,0.75,0.608545264912122
GOOGL,35,1.0,0.6813561536342791
GOOGL,50,0.0,0.5254396652333092
GOOGL,50,0.25,0.46345026588627064
GOOGL,50,0.5,0.5711919188624165
GOOGL,50,0.75,0.6001105108233861
GOOGL,50,1.0,0.6813561536342791
BTC-USD,1,0.0,0.9141901910342227
BTC-USD,1,0.25,0.9435642031380432
BTC-USD,1,0.5,0.9369791371391806
BTC-USD,1,0.75,0.9437276381800025
BTC-USD,1,1.0,0.961829280252334
BTC-USD,3,0.0,0.8647277481559605
BTC-USD,3,0.25,0.9289075073144923
BTC-USD,3,0.5,0.9190090447696511
BTC-USD,3,0.75,0.9609242789492782
BTC-USD,3,1.0,0.961829280252334
BTC-USD,5,0.0,0.8251110152377787
BTC-USD,5,0.25,0.907613379792442
BTC-USD,5,0.5,0.8920884263741599
BTC-USD,5,0.75,0.9454357142377837
BTC-USD,5,1.0,0.961829280252334
BTC-USD,8,0.0,0.7998615615739864
BTC-USD,8,0.25,0.9011585551362654
BTC-USD,8,0.5,0.8714450932331358
BTC-USD,8,0.75,0.9157187934171399
BTC-USD,8,1.0,0.961829280252334
BTC-USD,12,0.0,0.729119379265553
BTC-USD,12,0.25,0.9272598498663406
BTC-USD,12,0.5,0.8536690642287947
BTC-USD,12,0.75,0.90332422261128
BTC-USD,12,1.0,0.961829280252334
BTC-USD,18,0.0,0.6783365711783121
BTC-USD,18,0.25,0.8502011132066064
BTC-USD,18,0.5,0.8435410846036536
BTC-USD,18,0.75,0.9061106834620167
BTC-USD,18,1.0,0.961829280252334
BTC-USD,25,0.0,0.707297656494681
BTC-USD,25,0.25,0.8679752046766507
BTC-USD,25,0.5,0.8023950986152163
BTC-USD,25,0.75,0.8581342171615974
BTC-USD,25,1.0,0.961829280252334
BTC-USD,35,0.0,0.6731203850945803
BTC-USD,35,0.25,0.8554522549575245
BTC-USD,35,0.5,0.7905228255701701
BTC-USD,35,0.75,0.8847055236420062
BTC-USD,35,1.0,0.961829280252334
BTC-USD,50,0.0,0.5917948035151649
BTC-USD,50,0.25,0.7410011569211524
BTC-USD,50,0.5,0.7988674001821598
BTC-USD,50,0.75,0.8864793951729658
BTC-USD,50,1.0,0.961829280252334
ETH-USD,1,0.0,0.953130435679606
ETH-USD,1,0.25,0.9470411166044239
ETH-USD,1,0.5,0.9412539678200987
ETH-USD,1,0.75,0.9355012777702277
ETH-USD,1,1.0,0.9419852061999959
ETH-USD,3,0.0,0.9412888864891237
ETH-USD,3,0.25,0.9482544219147694
ETH-USD,3,0.5,0.9603851860098921
ETH-USD,3,0.75,0.9670055102050789
ETH-USD,3,1.0,0.9419852061999959
ETH-USD,5,0.0,0.8869309694583253
