ticker,n_mu,x,profit_factor
GOOGL,8,0.5,1.3687806529997613
GOOGL,8,0.75,1.37285253927684
GOOGL,8,1.0,1.3629453297548009
GOOGL,12,0.0,1.309101932991009
GOOGL,12,0.25,1.325893027442905
GOOGL,12,0.5,1.3481139023619229
GOOGL,12,0.75,1.3651127170937023
GOOGL,12,1.0,1.3629453297548009
GOOGL,18,0.0,1.254033113913913
GOOGL,18,0.25,1.2949153880366004
GOOGL,18,0.5,1.340711047161811
GOOGL,18,0.75,1.3441418538809415
GOOGL,18,1.0,1.3629453297548009
GOOGL,25,0.0,1.2633392993937647
GOOGL,25,0.25,1.2769479513993354
GOOGL,25,0.5,1.320623127387166
GOOGL,25,0.75,1.340007410401442
GOOGL,25,1.0,1.3629453297548009
GOOGL,35,0.0,1.231000441978048
GOOGL,35,0.25,1.2583511041435351
GOOGL,35,0.5,1.3182767696378277
GOOGL,35,0.75,1.3352594928963424
GOOGL,35,1.0,1.3629453297548009
GOOGL,50,0.0,1.2338914890849295
GOOGL,50,0.25,1.2418686090563005
GOOGL,50,0.5,1.3017126271077033
GOOGL,50,0.75,1.3369105651939321
GOOGL,50,1.0,1.3629453297548009
BTC-USD,1,0.0,1.4063701293325257
BTC-USD,1,0.25,1.4174184253819269
BTC-USD,1,0.5,1.413449453786586
BTC-USD,1,0.75,1.4143665935445153
BTC-USD,1,1.0,1.420824890408322
BTC-USD,3,0.0,1.3789606882188663
BTC-USD,3,0.25,1.4066189857273033
BTC-USD,3,0.5,1.4040754113407183
BTC-USD,3,0.75,1.4238101874797795
BTC-USD,3,1.0,1.420824890408322
BTC-USD,5,0.0,1.3575708952230767
BTC-USD,5,0.25,1.3976188150710092
BTC-USD,5,0.5,1.3926464076588803
BTC-USD,5,0.75,1.4165091861980226
BTC-USD,5,1.0,1.420824890408322
BTC-USD,8,0.0,1.3423880675816748
BTC-USD,8,0.25,1.390600808280029
BTC-USD,8,0.5,1.3822799990028287
BTC-USD,8,0.75,1.403304519470465
BTC-USD,8,1.0,1.420824890408322
BTC-USD,12,0.0,1.3084640588338783
BTC-USD,12,0.25,1.4019893375056893
BTC-USD,12,0.5,1.3756734897578877
BTC-USD,12,0.75,1.3988178560736155
BTC-USD,12,1.0,1.420824890408322
BTC-USD,18,0.0,1.2793106787273956
BTC-USD,18,0.25,1.3611433428100739
BTC-USD,18,0.5,1.3688404798531224
BTC-USD,18,0.75,1.3984128725844345
BTC-USD,18,1.0,1.420824890408322
BTC-USD,25,0.0,1.2821696371335578
BTC-USD,25,0.25,1.3664906710241835
BTC-USD,25,0.5,1.3501110556436873
BTC-USD,25,0.75,1.3744781678093878
BTC-USD,25,1.0,1.420824890408322
BTC-USD,35,0.0,1.2637715571612433
BTC-USD,35,0.25,1.360026960315022
BTC-USD,35,0.5,1.3443058051941197
BTC-USD,35,0.75,1.3870685345636249
BTC-USD,35,1.0,1.420824890408322
BTC-USD,50,0.0,1.2327297856064285
BTC-USD,50,0.25,1.29961656265218
BTC-USD,50,0.5,1.3522060829150708
BTC-USD,50,0.75,1.391942888801777
BTC-USD,50,1.0,1.420824890408322
ETH-USD,1,0.0,1.3899244490121008
ETH-USD,1,0.25,1.385467142335832
ETH-USD,1,0.5,1.3816252499728436
ETH-USD,1,0.75,1.3741965794026492
ETH-USD,1,1.0,1.3775566141698954
ETH-USD,3,0.0,1.3765022272416365
ETH-USD,3,0.25,1.3803667280203296
ETH-USD,3,0.5,1.3861837682095592
ETH-USD,3,0.75,1.3890817335228238
ETH-USD,3,1.0,1.3775566141698954
ETH-USD,5,0.0,1.3516725879363003
ETH-USD,5,0.25,1.3505639041744475
ETH-USD,5,0.5,1.3645416338006415
ETH-USD,5,0.75,1.3779657032014525
ETH-USD,5,1.0,1.3775566141698954
ETH-USD,8,0.0,1.3159359541229854
ETH-USD,8,0.25,1.3370088864617327
ETH-USD,8,0.5,1.3452158425987664
ETH-USD,8,0.75,1.351178190416564
ETH-USD,8,1.0,1.3775566141698954
ETH-USD,12,0.0,1.3062365266251028
ETH-USD,12,0.25,1.316042126378628
ETH-USD,12,0.5,1.3275692966953234
ETH-USD,12,0.75,1.3356438560557058
ETH-USD,12,1.0,1.3775566141698954
ETH-USD,18,0.0,1.281253519165937
ETH-USD,18,0.25,1.3068430564248756
ETH-USD,18,0.5,1.2108222018836443
ETH-USD,18,0.75,1.243746660152486
ETH-USD,18,1.0,1.3775566141698954
ETH-USD,25,0.0,1.265190339965687
ETH-USD,25,0.25,1.2718593683310582
ETH-USD,25,0.5,1.201771547564489
ETH-USD,25,0.75,1.2317641230337113
ETH-USD,25,1.0,1.3775566141698954
ETH-USD,35,0.0,1.221984070163763
ETH-USD,35,0.25,1.1060094348515965
ETH-USD,35,0.5,1.1046535534528736
ETH-USD,35,0.75,1.1426809115827472
ETH-USD,35,1.0,1.3775566141698954
ETH-USD,50,0.0,1.1772164367588507
ETH-USD,50,0.25,1.2310798259939477
ETH-USD,50,0.5,1.2492882541894754
ETH-USD,50,0.75,1.3301412688100884
ETH-USD,50,1.0,1.3775566141698954
GLD,1,0.0,1.4315695578444518
GLD,1,0.25,1.4300430451069037
GLD,1,0.5,1.4442928784544125
GLD,1,0.75,1.4456218876951263
GLD,1,1.0,1.435981492261081
GLD,3,0.0,1.4169327377502963
GLD,3,0.25,1.4181846262217164
GLD,3,0.5,1.4405217992515678
GLD,3,0.75,1.4402727077104096
GLD,3,1.0,1.435981492261081
GLD,5,0.0,1.4238603558256802
GLD,5,0.25,1.4135138353948349
GLD,5,0.5,1.4313153728172647
GLD,5,0.75,1.434382021361795
GLD,5,1.0,1.435981492261081
GLD,8,0.0,1.390619784369446
GLD,8,0.25,1.3818079434999035
GLD,8,0.5,1.412207444063913
GLD,8,0.75,1.4274986803938339
GLD,8,1.0,1.435981492261081
GLD,12,0.0,1.4109490560006925
GLD,12,0.25,1.3905032188521267
GLD,12,0.5,1.4158696976892255
GLD,12,0.75,1.4080481369403592
GLD,12,1.0,1.435981492261081
GLD,18,0.0,1.3722770311927173
GLD,18,0.25,1.3585008146700919
GLD,18,0.5,1.403234643970693
GLD,18,0.75,1.3939349264910657
GLD,18,1.0,1.435981492261081
GLD,25,0.0,1.3451632231171236
GLD,25,0.25,1.3458895303173242
GLD,25,0.5,1.404602326179787
GLD,25,0.75,1.4022126011657574
GLD,25,1.0,1.435981492261081
GLD,35,0.0,1.3254143245752614
GLD,35,0.25,1.3039441350301963
GLD,35,0.5,1.3907690527951226
GLD,35,0.75,1.396437756053258
GLD,35,1.0,1.435981492261081
GLD,50,0.0,1.3254412376511444
GLD,50,0.25,1.3324584140023896
GLD,50,0.5,1.3936541027534257
GLD,50,0.75,1.3896781010537713
GLD,50,1.0,1.435981492261081
SLV,1,0.0,1.3118674323557415
SLV,1,0.25,1.3083350658631778
SLV,1,0.5,1.3179708992454402
SLV,1,0.75,1.3272174030730934
SLV,1,1.0,1.3313928823543992
SLV,3,0.0,1.2966403876283328
SLV,3,0.25,1.2985762646106582
SLV,3,0.5,1.3106036609580027
SLV,3,0.75,1.3228063960034395
SLV,3,1.0,1.3313928823543992
SLV,5,0.0,1.2938141264025045
SLV,5,0.25,1.299990404907078
SLV,5,0.5,1.3233098663491096
SLV,5,0.75,1.3309977774709465
SLV,5,1.0,1.3313928823543992
SLV,8,0.0,1.2813520525303224
SLV,8,0.25,1.298891257005798
SLV,8,0.5,1.3200766521745806
SLV,8,0.75,1.3321879537405608
SLV,8,1.0,1.3313928823543992
